Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Exclusive Shelf,Read Count,Genre,Author Gender,Author Nationality,Author Age When Written
40725379,"Animal, Vegetable, Miracle: A Year of Food Life",Barbara Kingsolver,"Kingsolver, Barbara","Steven L. Hopp, Camille Kingsolver, Lily Hopp Kingsolver",0062653075,9780062653079,5,4.05,Harper,Kindle Edition,383,2017,2007,10/24/2008,12/24/2023,read,1,,,,
1477274,The Magic Shop,H.G. Wells,"Wells, H.G.",François Roca,1933327022,9781933327020,3,3.52,Purple Bear Books,Hardcover,32,2005,1903,12/22/2023,12/22/2023,read,1,,,,
6219656,The Lottery,Shirley Jackson,"Jackson, Shirley",,1563127873,9781563127878,5,4.04,Perfection Learning,Paperback,30,1990,1948,12/22/2023,6/29/2021,read,1,,,,
12914,The Aeneid,Virgil,"Virgil, Virgil","Robert Fitzgerald, David   West",0679729526,9780679729525,0,3.87,Vintage,Paperback,442,1990,-19,11/14/1999,12/21/2023,read,1,,,,
5659,The Wind in the Willows,Kenneth Grahame,"Grahame, Kenneth",Gillian Avery,0143039091,9780143039099,0,4.02,Penguin Books,Paperback,197,2005,1908,11/21/1993,12/21/2023,read,1,,,,
60671823,Alice's Adventures in Wonderland,Lewis Carroll,"Carroll, Lewis",Chris Riddell,152900246X,9781529002461,0,3.99,Pan Macmillan,Hardcover,320,,1865,12/21/2010,12/21/2023,read,1,,,,
77265004,The Iliad,Homer,"Homer, Homer",Emily Wilson,1324001801,9781324001805,0,3.92,W. W. Norton & Company,Hardcover,848,2023,-800,11/18/1999,12/21/2023,read,1,,,,
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William",,0743477111,9780743477116,0,3.74,Washington Square Press,Mass Market Paperback,281,2002,1597,11/21/1997,12/21/2023,read,1,,,,
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,,,0,4.13,Random House: Modern Library,Paperback,272,2004,1890,10/21/1996,12/21/2023,read,1,,,,
6656,The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,"Alighieri, Dante","Allen Mandelbaum, Eugenio Montale, Peter Armour, Sandro Botticelli",0679433139,9780679433132,0,4.08,Everyman's Library,Hardcover,798,1995,1320,11/16/1999,12/21/2023,read,1,,,,
23492589,"Finders Keepers (Bill Hodges Trilogy, #2)",Stephen        King,"King, Stephen",,1501100076,9781501100079,3,4.07,Scribner,Hardcover,434,2015,2015,12/21/2023,11/25/2023,read,1,,,,
4136,Holidays on Ice,David Sedaris,"Sedaris, David",,0316191299,9780316191296,0,3.89,Little Brown & Co (P),Paperback,176,1998,1997,12/17/2023,5/26/2019,read,2,,,,
61771675,Hello Beautiful,Ann Napolitano,"Napolitano, Ann",,,,4,4.14,The Dial Press,Kindle Edition,416,2023,2023,12/15/2023,4/2/2023,read,1,,,,
50825882,Navigate Your Stars,Jesmyn Ward,"Ward, Jesmyn",Gina Triplett,1982131322,9781982131326,5,4.19,Scribner,Hardcover,64,2020,2020,12/12/2023,5/2/2020,read,1,,,,
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",Michael Mason,0142437204,9780142437209,4,4.15,Penguin,Paperback,532,2003,1847,12/8/2023,5/26/2019,read,2,,,,
18775247,"Mr. Mercedes (Bill Hodges Trilogy, #1)",Stephen        King,"King, Stephen",,1476754454,9781476754451,3,4.03,Scribner,Hardcover,437,2014,2014,11/22/2023,11/13/2023,read,1,,,,
63219182,Amazing Grace Adams,Fran Littlewood,"Littlewood, Fran",,1250857023,9781250857026,3,3.34,Henry Holt and Co.,Kindle Edition,261,2023,2023,11/12/2023,10/10/2023,read,1,,,,
60393672,"It Starts with Us (It Ends with Us, #2)",Colleen Hoover,"Hoover, Colleen",,1668001225,9781668001226,4,3.85,Atria Books,Paperback,323,2022,2022,11/10/2023,6/19/2023,read,1,,,,
620487,"The Dark Worlds of H.P. Lovecraft, Vol 2",H.P. Lovecraft,"Lovecraft, H.P.",Wayne June,1897304013,9781897304013,2,3.85,UNKNO,Audio CD,4,2005,2005,10/29/2023,10/29/2023,read,1,,,,
179780,"The Exorcist (The Exorcist, #1)",William Peter Blatty,"Blatty, William Peter",,,,5,4.21,HarperTorch,Mass Market Paperback,385,1994,1971,10/28/2023,10/23/2023,read,1,,,,
564315,"The Dark Worlds of H.P. Lovecraft, Vol 1",H.P. Lovecraft,"Lovecraft, H.P.",Wayne June,0809562677,9780809562671,4,3.73,Wildside Press,MP3 CD,1,2006,2005,10/24/2023,10/23/2023,read,1,,,,
761381,The Halloween Tree,Ray Bradbury,"Bradbury, Ray",,0375803017,9780375803017,3,3.77,Yearling,Paperback,145,2001,1972,10/6/2023,10/4/2023,read,1,,,,
16307,"Hallowe'en Party (Hercule Poirot, #41)",Agatha Christie,"Christie, Agatha",,0007120680,9780007120680,3,3.57,Harper,Paperback,336,2001,1969,10/16/2023,10/6/2023,read,1,,,,
